epoch,grad_norm,kl_loss,loss,loss_token_1,loss_token_2,loss_token_3,loss_token_4,loss_token_5,loss_token_6,loss_token_7,loss_token_8,lr,mse_loss,next_token_loss,ppl,step,steps_per_sec,val/kl_loss,val/loss,val/loss_token_1,val/loss_token_2,val/loss_token_3,val/loss_token_4,val/loss_token_5,val/loss_token_6,val/loss_token_7,val/loss_token_8,val/mse_loss,val/next_token_loss,val/ppl,"val_(2, 10)/test_accuracy","val_(2, 10)/token_1","val_(2, 10)/token_10","val_(2, 10)/token_2","val_(2, 10)/token_3","val_(2, 10)/token_4","val_(2, 10)/token_5","val_(2, 10)/token_6","val_(2, 10)/token_7","val_(2, 10)/token_8","val_(2, 10)/token_9"
0,7.1861138343811035,0.003582631004974246,9.527985572814941,9.474658966064453,9.475226402282715,9.47606372833252,9.475772857666016,9.476216316223145,9.477542877197266,9.479183197021484,9.480216979980469,0.0005,0.04792507737874985,9.476478576660156,13049.153916445255,0,0.2005480234246846,,,,,,,,,,,,,,,,,,,,,,,,
0,2.4368700981140137,0.0012360857799649239,4.946402549743652,4.929251194000244,4.929901599884033,4.930966854095459,4.9316301345825195,4.932327747344971,4.933356761932373,4.934299945831299,4.934908866882324,0.0005,0.01663869619369507,4.92852783203125,138.17594433427695,0,1.213503913572575,,,,,,,,,,,,,,,,,,,,,,,,
0,1.9163475036621094,0.0003522362094372511,4.748132228851318,4.741209506988525,4.741206169128418,4.741547584533691,4.741655349731445,4.7418599128723145,4.741842269897461,4.742068290710449,4.742180347442627,0.0005,0.006645001471042633,4.741135120391846,114.56417202805098,0,1.205698341736377,,,,,,,,,,,,,,,,,,,,,,,,
0,1.6700156927108765,0.00022424740018323064,4.626176834106445,4.622463703155518,4.622132778167725,4.621744155883789,4.621536731719971,4.6212263107299805,4.621034145355225,4.620954513549805,4.620541572570801,0.0005,0.003158676205202937,4.622793674468994,101.77796984596704,0,1.2055012465421273,,,,,,,,,,,,,,,,,,,,,,,,
0,1.2008804082870483,0.00013310466601978987,4.545842170715332,4.543728351593018,4.543542385101318,4.543423175811768,4.543142795562744,4.5429911613464355,4.542933464050293,4.542725086212158,4.542577266693115,0.0005,0.0017489102901890874,4.543960094451904,94.06256015380721,0,1.2096527231404612,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4168338477611542,8.697123848833144e-05,4.514724254608154,4.51329231262207,4.513339042663574,4.513310432434082,4.513367176055908,4.513426303863525,4.513481616973877,4.513502597808838,4.513534069061279,0.0005,0.001357895671389997,4.513279438018799,91.22048043285416,0,1.2078057734517895,,,,,,,,,,,,,,,,,,,,,,,,
0,1.386102557182312,9.045792830875143e-05,4.533779621124268,4.532449722290039,4.532217502593994,4.5320353507995605,4.531754016876221,4.5316162109375,4.531403064727783,4.531291484832764,4.530986309051514,0.0005,0.0010210060281679034,4.532668113708496,93.00638193060064,0,1.2035141271672551,,,,,,,,,,,,,,,,,,,,,,,,
0,1.2433569431304932,6.519474118249491e-05,4.522128582000732,4.521233081817627,4.521049499511719,4.521026611328125,4.52079439163208,4.520650386810303,4.520639419555664,4.5204877853393555,4.520420551300049,0.0005,0.0007372394320555031,4.521326065063477,91.95745873600873,0,1.2108474707434864,,,,,,,,,,,,,,,,,,,,,,,,
0,0.6168918609619141,6.368195317918435e-05,4.511157512664795,4.510453224182129,4.510533332824707,4.51056432723999,4.510647296905518,4.510709285736084,4.510763168334961,4.510815620422363,4.510871887207031,0.0005,0.0006477041752077639,4.510446071624756,90.9623852009904,0,1.2090144362509514,,,,,,,,,,,,,,,,,,,,,,,,
0,0.4002912938594818,5.3169460443314165e-05,4.509021759033203,4.508429527282715,4.5083160400390625,4.508368968963623,4.508345127105713,4.508308410644531,4.5084147453308105,4.508349418640137,4.508368015289307,0.0005,0.0005548472981899977,4.508413791656494,90.7777118851822,0,1.1981793382652017,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5152325630187988,3.41449813276995e-05,4.506847381591797,4.506429195404053,4.506396293640137,4.506492614746094,4.506446361541748,4.506543159484863,4.50647497177124,4.506564617156982,4.506734848022461,0.0005,0.0004396232252474874,4.506373405456543,90.59267912792441,0,1.2082793917108718,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5824880003929138,2.4348792067030445e-05,4.508474826812744,4.508083343505859,4.508027076721191,4.508036136627197,4.507988452911377,4.508031368255615,4.507944107055664,4.507920742034912,4.507890224456787,0.0005,0.0003662258095573634,4.508084297180176,90.74780605771626,0,1.2096146162708221,,,,,,,,,,,,,,,,,,,,,,,,
0,0.568736732006073,2.318173210369423e-05,4.506016731262207,4.5056471824646,4.505647659301758,4.505661487579346,4.505701065063477,4.505702018737793,4.505671501159668,4.505734920501709,4.505776882171631,0.0005,0.00032814498990774155,4.505665302276611,90.52855287043829,0,1.2124705165399874,,,,,,,,,,,,,,,,,,,,,,,,
0,0.5113546848297119,2.2392488972400315e-05,4.502260208129883,4.501870632171631,4.501797676086426,4.501831531524658,4.50179386138916,4.5017266273498535,4.501660346984863,4.50163459777832,4.501623153686523,0.0005,0.00029615461244247854,4.501941680908203,90.19208564356646,0,1.2055300823737287,,,,,,,,,,,,,,,,,,,,,,,,
0,0.435080885887146,1.9289125702925958e-05,4.503052234649658,4.502790451049805,4.502752780914307,4.502813816070557,4.502779483795166,4.502745151519775,4.502730846405029,4.502688407897949,4.502720832824707,0.0005,0.00026071793399751186,4.502772331237793,90.26703485321607,0,1.2161216655818599,,,,,,,,,,,,,,,,,,,,,,,,
0,0.3410499393939972,1.563177829666529e-05,4.500751495361328,4.500581741333008,4.500529766082764,4.500523090362549,4.500535011291504,4.500511169433594,4.500476837158203,4.500461101531982,4.5004563331604,0.0005,0.00022595920017920434,4.500509738922119,90.06302823273577,0,1.2153570405942662,,,,,,,,,,,,,,,,,,,,,,,,
0,0.36963462829589844,1.392113608744694e-05,4.504329681396484,4.504119396209717,4.504057884216309,4.504156589508057,4.5041069984436035,4.504090309143066,4.504046440124512,4.50404691696167,4.504049301147461,0.0005,0.00019873979908879846,4.504117012023926,90.38849684610646,0,1.205740529849538,,,,,,,,,,,,,,,,,,,,,,,,
0,0.3619808852672577,1.4891322280163877e-05,4.500452518463135,4.500210285186768,4.500226974487305,4.500255107879639,4.50026273727417,4.500248908996582,4.500187397003174,4.500223159790039,4.500198841094971,0.0005,0.00018083536997437477,4.5002570152282715,90.04027004744916,0,1.2057435288923122,,,,,,,,,,,,,,,,,,,,,,,,
0,0.3617808222770691,1.5250474461936392e-05,4.496230125427246,4.496075630187988,4.496060371398926,4.496075630187988,4.496122360229492,4.496124744415283,4.496101379394531,4.496059894561768,4.496133804321289,0.0005,0.0001743541070027277,4.496040344238281,89.66139920103276,0,1.208395784917523,,,,,,,,,,,,,,,,,,,,,,,,
0,0.3827953040599823,1.2976883226656355e-05,4.4980387687683105,4.4978413581848145,4.4978742599487305,4.497978687286377,4.497981548309326,4.497974872589111,4.49800443649292,4.49802827835083,4.498085021972656,0.0005,0.0001682521979091689,4.497857570648193,89.82448239827778,0,1.2005684187710444,,,,,,,,,,,,,,,,,,,,,,,,
